The Jewelled Eye of AGABAL (Jeweyel) Level 800
By
withinamnesia
Published:
May 3, 2022


1245
colouration
divine
exact
eye
gordon
jewelled
more
pm
powers
pure
roulston
agabal
jeweyel
jeweyels
0305may2022
Description
The Jewelled Eye of AGABAL (Jeweyel) [More Exact and Pure Colouration]: 
-Matthew Gordon Roulston 12:45 PM 03/05(May)/2022

The Jewelled Eye Of AGABAL (Jeweyel)

The Jewelled Eye Of AGABAL Divine Powers, Jeweyel's Divine Powers


Divine Powers Hierarchy


The Arcane Creator:
Level 700 (150,000.000 Divine Power Creator)

- Khronus:
The Arcane Creator - Grey
Regeneration of Adventure (~Encounter Respawns / Raid Lockout Timers)

~Infinite / 0.001 Seconds

~Infinite / 0.01 Seconds

~Infinite / 0.1 Seconds

1 Second

2 Seconds

3 Seconds

4 Seconds

5 Seconds

6 Seconds

7 Seconds

8 Seconds

9 Seconds

10 Seconds

11 Seconds

12 Seconds

13 Seconds

14 Seconds

15 Seconds

16  Seconds

18  Seconds

20  Seconds

22  Seconds

25  Seconds

30 Seconds

35 Seconds

40 Seconds

45 Seconds

50 Seconds

55 Seconds

60 Seconds

1 Minute

1 Minute 5 Seconds

1 Minute 10 Seconds

1 Minute 15 Seconds

1 Minute 20 Seconds

1 Minute 25 Seconds

1 Minute 30 Seconds

1 Minute 35 Seconds

1 Minute 40 Seconds

1 Minute 45 Seconds

1 Minute 50 Seconds

1 Minute 55 Seconds

2 Minutes

2 Minutes 5 Seconds

2 Minutes 10 Seconds

2 Minutes 15 Seconds

2 Minutes 30 Seconds

2 Minutes 45 Seconds 

3 Minutes

3 Minutes 15 Seconds

3 Minutes 30 Seconds

3 Minutes 45 Seconds

4 Minutes 

4 Minutes 30 Seconds

5 Minutes

6 Minutes

7 Minutes

8 Minutes

9 Minutes

10 Minutes

11 Minutes

12 Minutes

13 Minutes

14 Minutes

15 Minutes

16 Minutes

18 Minutes

20 Minutes

22 Minutes

25 Minutes

30 Minutes

35 Minutes

40 Minutes

45 Minutes

50 Minutes

55 Minutes

1 Hour

1 Hour 15 Minutes

1 Hour 30 Minutes

1 Hour 45 Minutes

2 Hours

2 Hours 30 Minutes

3 Hours

4 Hours

5 Hours

6 Hours

7 Hours

8 Hours

9 Hours

10 Hours

11 Hours

12 Hours

13 Hours

14 Hours

15 Hours

16 Hours

17 Hours

18 Hours

19 Hours

20 Hours

21 Hours

22 Hours

23 Hours

24 Hours / 1 Day

2 Days

3 Days

4 Days

5 Days

6 Days

7 Days / 1 Week

2 Weeks

3 Weeks

4 Weeks

~30 (28-31 ) Days / 1 Month

2 Months

3 Months (~1 Season)

4 Months (~1 '~x3.21 Year')

5 Months

6 Months

7 Months

8 Months

9 Months

10 Months

11 Months

12 Months / 1 Year

2 Years

3 Years

4 Years

5 Years / 1 Pentade

6 Years

7 Years

8 Years

9 Years

10 Years / 1 Decade

2 Decades / (~12-25 Years) 1 Generation

3 Decades

4 Decades

5 Decades

6 Decades

7 Decades

8 Decades

9 Decades

10 Decades / 1 Century

2 Centuries

3 Centuries

4 Centuries

5 Centuries / (~2-8 Centuries) 1 Era  (~500 Years)

6 Centuries

7 Centuries

8 Centuries

9 Centuries

10 Centuries / 1 Millennium (~1,000 Years)

2 Millenniums / 1 Age (~2,000 Years)

3 Millenniums  (~3,000 Years)

4 Millenniums / 2 Ages (~4,000 Years)

5 Millenniums (~5,000 Years)

6 Millenniums / 3 Ages (~6,000 Years)

7 Millenniums (~7,000 Years)

8 Millenniums / 4 Ages (~8,000 Years)

9 Millenniums (~9,000 Years)

10 Millenniums / 5 Ages / 1 Eon (~10,000 Years)

2 Eons (~20,000 Years)



-Matthew Gordon Roulston 6:39 PM 16th / 01 (January) / 2024
withinamnesia's avatar
withinamnesia
Edited Mar 26, 2024

Blades of Nor, each one of five respective Deities of the Gods and Goddesses.

Angthrad'Nor of the West, Blade of Chaos, Deity of Kh'thulis (Male Multi-Role Figure) - Dwarf

Bazki'Nor of the South, Blade of Dark, Deity of Voezeithious (Female Multi-Role Figure) - Shadow Elf

Galathrad'Nor of the North, Blade of Light, Deity of Dae'aldon (Male Multi-Role Figure) - High Elf

Malki'Nor of the East, Blade of Order, Deity of Aithyrios (Female Multi-Role Figure) - Human

Efield'Nor of the North East, Blade of Wild, Deity of Aethia (Male Multi-Role Figure) - Dhurin

Seffal'Nor of the South West, Blade of Entropy, Deity of Vlad'sithian (Female Multi-Role Figure) - Myrmegion

Eitheal'Nor of the South East, Blade of Gloam, Deity of Palosa (Male Multi-Role Figure) - Orc

Sethmal'Nor of the North West, Blade of Fury, Deity of T'kael'los (Female Multi-Role Figure) - Veldin

Khronekro'Nor of the Center, Blade of Arcane, Deity of Kronus (Neutral Multi-Role Figure) - Abnudamu

-Matthew Gordon Roulston 12:29 AM 26th / 03 (March) / 2024 [Talking to Ashley Corbin]
withinamnesia's avatar
withinamnesia
Mar 27, 2024

1-26+ People Races AGABAL Card Game:

Blades of Nor, each one of five respective Deities of the Gods and Goddesses.

Angthrad'Nor of the West, Blade of Chaos, Deity of Kh'thulis (Male Multi-Role Figure) - Dwarf

Bazki'Nor of the South, Blade of Dark, Deity of Voezeithious (Female Multi-Role Figure) - Shadow Elf

Galathrad'Nor of the North, Blade of Light, Deity of Dae'aldon (Male Multi-Role Figure) - High Elf

Malki'Nor of the East, Blade of Order, Deity of Aithyrios (Female Multi-Role Figure) - Human

Efield'Nor of the North East, Blade of Wild, Deity of Aethia (Male Multi-Role Figure) - Dhurin

Seffal'Nor of the South West, Blade of Entropy, Deity of Vlad'sithian (Female Multi-Role Figure) - Myrmegion

Eitheal'Nor of the South East, Blade of Gloam, Deity of Palosa (Male Multi-Role Figure) - Orc

Sethmal'Nor of the North West, Blade of Furore, Deity of T'kael'los (Female Multi-Role Figure) - Veldin

Khronekro'Nor of the Center, Blade of Arcane, Deity of Kronus (Neutral Multi-Role Figure) - Abnudamu

-Matthew Gordon Roulston 12:29 AM 26th / 03 (March) / 2024 [Talking to Ashley Corbin]

Matthew — Yesterday at 18:10

Average people 8/14 card with 8 energy / types / elements.

10.) - Furore Orange: Male Troll

11.) - Light Yellow: Female Doragong

12.) - Wild Green: Female Satyr

13.) - Order Aqua: Male Flind

14.) - Gloam Blue: Female Yonva

15.) - Dark Purple: Male Human Draugar 

16.) - Entropy Pink: Male Veldin Vampire

17.) - Chaos Red: Female Obaratan

Weak people 3/14 card with 8 energy / types / elements.

18.) - Furore Orange: Female Rakhasja

19.) - Light Yellow: Male Halfling

20.) - Wild Green: Male Ogarian

21.) - Order Aqua: Female Gnome

22.) - Gloam Blue: Male Nor'vike Ghost-Undead Pirate 

23.) - Dark Purple: Female Gigant

24.) - Entropy Pink: Female Goblin

25.) - Chaos Red: Male Boaji-Boaraji

40/30/20/10 split of the main factions distribution of fantasy races.

8x3=24+1=25

25x0.4=10 (Covenant) ~10 [4+3+3=10] (+1+1+1=3 Alternate Options): ~10-13 [4+3+2=9] (Missing Hobgoblin)

25x0.3=7.5 (Cabal) ~7-8 [3+2+2=7] (+1+1+1=3 Alternate Options): ~7-10 [3+2+2=7]

25x0.2=5 (Pact) ~5 [1+2+2=5] (+1+1+1=3 Alternate Options): ~5-8 [1+2+2=5]

25x0.1=2.5 (Unaligned/Non-Faction) ~2-3 [0+1+2=3] (+1+1+1=3 Alternate Options): ~3-6 [0+1+2=3]

-Matthew Gordon Roulston 6:53 PM 27th / 03 (March) / 2024 [Talking to Ashley Corbin]
withinamnesia's avatar
withinamnesia
Jun 22, 2024

Attribute Range Maximums

Mortal: [0-99 Level Range]

- 1 to 100 Maximum Attribute Range

- ~10-80 Average Attribute Range

Immortal: [100-199 Level Range]

- 101 to 200 Maximum Attribute Range

- [N/A]~110-180 Average Attribute Range

Demigod / Demigoddess: [200-299 Level Range]

-  201 to 300 Maximum Attribute Range

- [N/A]~210-280 Average Attribute Range

Deity: [300-399 Level Range]

- 301 to 400 Maximum Attribute Range [Adventurer Maximum 400]

- [N/A]~310-380 Average Attribute Range

Celestial: [400-499 Level Range]

- 401 to 500 Maximum Attribute Range

- [N/A]~410-480 Average Attribute Range

God / Goddess:  [500-599 Level Range]

- 501 to 600 Maximum Attribute Range

- [N/A]~510-580 Average Attribute Range

Numina: [600-699 Level Range]

- 601 to 700 Maximum Attribute Range [Equipment Maximum 700]

- [N/A]~610-680 Average Attribute Range

Progenitor: [700-799 Level Range]

- 701 to 800 Maximum Attribute Range

- [N/A]~710-780 Average Attribute Range

Creator: [800 Level Range]

- 801 to 900 Maximum Attribute Range [Universal Maximum 900]

- [N/A]~810-880 Average Attribute Range

-Matthew Gordon Roulston 2:22 PM 22nd / 06 (June) / 2024
